=== 2019 RACK RAID EXTRACTION AUDIT CHECKLIST ===

--- LEG 1 ---
Pos 18 | Time: 00:58:53 | Richard Roberts (Griffithstown A)
Pos 19 | Time: 01:00:35 | Huw Williams (Rhondda Valley A)
Pos 20 | Time: 01:00:38 | Zoe Rees Caerphilly B (Griffithstown B)
Pos 21 | Time: 01:00:40 | Sarah Lane Coote Parc Bryn Bach (Caerphilly A)
Pos 22 | Time: 01:01:46 | Nick Davies (Lliswerry B)
Pos 23 | Time: 01:02:21 | Emma Blow (Aberdare Valley A)
Pos 24 | Time: 01:02:33 | Julia Evans Pegasus (Rhondda Valley A)
Pos 25 | Time: 01:03:02 | Jonathan Bussy (Fairwater B)
Pos 26 | Time: 01:03:12 | Louise Bright (Pont-y-pwl & District B)
Pos 27 | Time: 01:07:19 | Mary Beech Brackla A (Pont-y-pwl & District A)
Pos 28 | Time: 01:08:00 | Charlotte Leigh (Caerleon B)
Total Runners Extracted for Leg 3: 28

--- LEG 4 ---
Pos 01 | Time: 00:41:44 | Richard Elgar (Lliswerry A)
Pos 02 | Time: 00:42:05 | Jacob Griffiths Brackla A (Chepstow A)
Pos 03 | Time: 00:43:21 | TomTurner (Torfaen A)
Pos 04 | Time: 00:45:00 | Kath Matthews (Chepstow A)
Pos 05 | Time: 00:45:19 | Nathan Reeks Caldicot A (Les Croupiers A)
Pos 06 | Time: 00:46:12 | Shaun Styles Griffithstown A (Pont-y-pwl & District A)
Pos 07 | Time: 00:46:22 | Matthew Mulcahy Caerleon (Caerphilly A)
Pos 08 | Time: 00:46:53 | Chris Truman (Ogmore Phoenix A)
Pos 09 | Time: 00:47:02 | Paul Francis Caerphilly A (Spirit of Monmouth A)
Pos 10 | Time: 00:48:04 | Matt Unsworth (Spirit of Monmouth A)
Pos 11 | Time: 00:50:31 | Sharon Newell Parc Bryn Bach A (Islwyn A)
Pos 12 | Time: 00:50:36 | Sue Watson Les Croupiers (Aberdare Valley A)
Pos 13 | Time: 00:50:52 | Ross Owen (Rhondda Valley A)
Pos 14 | Time: 00:51:28 | Clare Griffiths (Aberdare Valley A)
Pos 15 | Time: 00:52:32 | Emma Price Fairwater Cwmbran (San Domenico A)
Pos 16 | Time: 00:53:20 | Esther Caldwell Chepstow B (Lliswerry B)
Pos 17 | Time: 00:54:03 | William Probert (Pont-y-pwl & District B)
Pos 18 | Time: 00:54:10 | Emily Capener (San Domenico A)
Pos 19 | Time: 00:54:34 | Nicola Smith (Pont-y-pwl & District A)
Pos 20 | Time: 00:55:05 | Janet Richards Lliswerry B (Pontypridd B)
Pos 21 | Time: 00:55:16 | Hannah Davies (Islwyn A)
Pos 22 | Time: 00:55:51 | Neil Williams Caerleon B (Rhondda Valley B)
Pos 23 | Time: 00:57:19 | Jo Valentine (Pegasus A)
Pos 24 | Time: 00:57:58 | Jennet Holmes Pontypridd (Caerphilly A)
Pos 25 | Time: 00:58:05 | Cyril Williams Parc Bryn Bach B (Pont-y-pwl & District B)
Pos 26 | Time: 00:58:55 | Sheryl Clark Islwyn B (Pegasus B)
Pos 27 | Time: 01:00:36 | David Bailyes (Caerphilly B)
Pos 28 | Time: 01:01:00 | Jane Lewis (Fairwater B)
Total Runners Extracted for Leg 4: 28

--- LEG 5 ---
Pos 01 | Time: 00:49:24 | Martin Thomas Parc Bryn Bach A (Lliswerry A)
Pos 02 | Time: 00:49:29 | Jon Belcher (Lliswerry A)
Pos 03 | Time: 00:51:04 | Bobby Pritchard (Chepstow A)
Pos 04 | Time: 00:51:21 | Dave Moore Brackla A (Chepstow A)
Pos 05 | Time: 00:51:43 | MarkHurford Torfaen A (Les Croupiers A)
Pos 06 | Time: 00:52:07 | Andrew Reddy Aberdare Valley A (Pont-y-pwl & District A)
Pos 07 | Time: 00:52:42 | Martin Williams Les Croupiers A (Ogmore Phoenix A)
Pos 08 | Time: 00:52:48 | Jon Ford Fairwater Cwmbran (Caerphilly A)
Pos 09 | Time: 00:55:15 | Neil Price Ogmore Phoenix (Aberdare Valley A)
Pos 10 | Time: 00:55:49 | Liam Hynes Caerleon B (Spirit of Monmouth B)
Pos 11 | Time: 00:56:02 | Matthew Golledge (Caerphilly A)
Pos 12 | Time: 00:56:12 | Dennis Geoghegan Caldicot (Fairwater A)
Pos 13 | Time: 00:56:26 | David Wheeler (Chepstow B)
Pos 14 | Time: 00:57:26 | Paul Mason (Griffithstown A)
Pos 15 | Time: 00:57:38 | Lisa Erickson (Pont-y-pwl & District A)
Pos 16 | Time: 00:58:35 | Emily Lagomarsino (San Domenico A)
Pos 17 | Time: 01:00:12 | Jackie Hartwell Islwyn A (Griffithstown A)
Pos 18 | Time: 01:00:18 | Laura Morris (Spirit of Monmouth A)
Pos 19 | Time: 01:02:43 | Amy Edwards (Rhondda Valley A)
Pos 20 | Time: 01:02:47 | Ceri Irvine (Caerphilly B)
Pos 21 | Time: 01:03:43 | Matt Ham Islwyn B (Rhondda Valley B)
Pos 22 | Time: 01:04:11 | Liz Richards Caerleon A (Pontypridd A)
Pos 23 | Time: 01:06:11 | Sarah Kembrey (Lliswerry B)
Pos 24 | Time: 01:09:36 | Delphine Jones Parc Bryn Bach B (Caerphilly B)
Pos 25 | Time: 01:09:44 | Michael Barnes (Fairwater B)
Pos 26 | Time: 01:10:12 | Kevin Fowler (Pegasus A)
Pos 27 | Time: 01:13:00 | Rhian Hopkins (Pontypridd A)
Pos 28 | Time: 01:23:00 | DNF (Pont-y-pwl & District B)
Total Runners Extracted for Leg 5: 28

--- LEG 6 ---
Pos 01 | Time: 01:15:00 | JonLike Torfaen A (Lliswerry A)
Pos 02 | Time: 01:16:29 | James Blore (Chepstow A)
Pos 03 | Time: 01:17:11 | Martin Norton (Lliswerry A)
Pos 04 | Time: 01:18:07 | David Jones Caerphilly A (Les Croupiers A)
Pos 05 | Time: 01:18:17 | Phil Hambleton (Les Croupiers A)
Pos 06 | Time: 01:20:29 | Gareth Jones (Spirit of Monmouth A)
Pos 07 | Time: 01:20:52 | Dafydd Lambeth Islwyn A (Ogmore Phoenix A)
