=== 2022 RACK RAID EXTRACTION AUDIT CHECKLIST ===

--- LEG 1 ---
Pos 22 | Time: 01:02:41 | Andy Clifton Monmouth (Caldicot A)
Pos 23 | Time: 01:02:44 | Sarah Lyle Pegasus A (Lliswerry A)
Pos 24 | Time: 01:02:58 | Gareth Yeoman (Lliswerry B)
Pos 25 | Time: 01:03:16 | Kirsty Evans Ogmore (Rhondda A)
Pos 26 | Time: 01:03:40 | Nicholas Clarke (Griffithstown B)
Pos 27 | Time: 01:04:27 | Nathan Williams Aberdare A (Griffithstown A)
Pos 28 | Time: 01:08:00 | Liz Davis (Ogmore B)
Total Runners Extracted for Leg 3: 28

--- LEG 4 ---
Pos 01 | Time: 00:44:43 | Paul Dodd (Chepstow A)
Pos 02 | Time: 00:46:11 | Emma Wookey (Lliswerry A)
Pos 03 | Time: 00:46:43 | Aled Hughes Ogmore A (Griffithstown A)
Pos 04 | Time: 00:47:41 | Emma Edwards (Caerphilly A)
Pos 05 | Time: 00:47:54 | Annette Sanford (Griffithstown A)
Pos 06 | Time: 00:48:06 | Megan Turner (San Domenico A)
Pos 07 | Time: 00:48:17 | Faye Johnson Pont-y-pwl (Caerphilly A)
Pos 08 | Time: 00:48:49 | Kim Wehden Islwyn (Fairwater A)
Pos 09 | Time: 00:50:11 | Joanna Summerfield Parc Bryn Bach A (Ogmore A)
Pos 10 | Time: 00:50:37 | Charlotte Pike (Fairwater A)
Pos 11 | Time: 00:51:43 | Lowenna Taylor Caerleon (Aberdare A)
Pos 12 | Time: 00:52:49 | Neil Profit Islwyn B (Chepstow B)
Pos 13 | Time: 00:52:58 | Zoe Rees Caerphilly B (San Domenico B)
Pos 14 | Time: 00:53:23 | Kath Sage Caldicot (Caerphilly A)
Pos 15 | Time: 00:54:20 | Aimee Ferguson (Aberdare A)
Pos 16 | Time: 00:55:15 | Jen Watkins (Pont-y-pwl B)
Pos 17 | Time: 00:55:16 | Dave George (Les Croupiers A)
Pos 18 | Time: 00:55:38 | Louise Muteham Lliswerry B (Les Croupiers B)
Pos 19 | Time: 00:55:48 | Graham Foster Brackla (Caldicot A)
Pos 20 | Time: 00:56:06 | Tara Paisey (Griffithstown B)
Pos 21 | Time: 00:56:20 | Jane Roscoe Chepstow B (Fairwater B)
Pos 22 | Time: 00:58:49 | Neil Fitzgerald (Pontypridd A)
Pos 23 | Time: 01:01:00 | Hannah Morgan (Fairwater B)
Pos 24 | Time: 01:01:01 | Paul Adams (Caerleon B)
Pos 25 | Time: 01:01:02 | Neil Jones Rhondda A (Griffithstown A)
Pos 26 | Time: 01:01:03 | Jo Valentine Pegasus A (Monmouth A)
Pos 27 | Time: 01:01:04 | Kate Plimmer Ogmore B (Pegasus B)
Pos 28 | Time: 01:11:00 | Kirk Hill (Monmouth A)
Total Runners Extracted for Leg 4: 28

--- LEG 5 ---
Pos 01 | Time: 00:49:20 | Martin Johns (Lliswerry A)
Pos 02 | Time: 00:50:40 | Kath Matthews Chepstow A (Lliswerry A)
Pos 03 | Time: 00:51:37 | Andy Lee (Pont-y-pwl A)
Pos 04 | Time: 00:56:21 | Adrian Pearce Brackla A (Griffithstown A)
Pos 05 | Time: 00:56:49 | Charlie Bendall Chepstow B (Caerleon B)
Pos 06 | Time: 00:57:15 | Richard Kulisa (Caerphilly A)
Pos 07 | Time: 00:57:23 | Gareth Knight (Fairwater A)
Pos 08 | Time: 00:57:27 | Craig Cheedy (Griffithstown A)
Pos 09 | Time: 00:58:04 | Rachel Brenton (Caerleon A)
Pos 10 | Time: 00:58:15 | Tammi Preece Parc Bryn Bach A Parc Bryn Bach A (Independent A)
Pos 11 | Time: 00:58:47 | Nicholas Walsh (Griffithstown B)
Pos 12 | Time: 00:59:23 | Paul Harris (Lliswerry B)
Pos 13 | Time: 00:59:36 | Matthew Lloyd (Fairwater B)
Pos 14 | Time: 01:00:22 | Gareth Jenkins Ogmore B (San Domenico B)
Pos 15 | Time: 01:00:31 | Robert Price (Aberdare A)
Pos 16 | Time: 01:01:53 | Paige Matthews Islwyn (Caerphilly A)
Pos 17 | Time: 01:01:54 | Lloyd Hambridge Islwyn B (Lliswerry B)
Pos 18 | Time: 01:03:53 | Delyth Williams (San Domenico A)
